index,Champion,id,Release_Patch,Patches_since_release
0,Aatrox,266,3.8,248.0
1,Ahri,103,1.0.0.131,280.0
2,Akali,84,1.0.0.85,320.0
3,Akshan,166,11.15,56.0
4,Alistar,12,Initial,333.0
5,Amumu,32,Initial,333.0
6,Anivia,34,Initial,333.0
7,Annie,1,Initial,333.0
8,Aphelios,523,9.24,97.0
9,Ashe,22,Initial,333.0
10,AurelionSol,136,6.6,189.0
11,Azir,268,4.16,224.0
12,Bard,432,5.5,214.0
13,Belveth,200,12.11,36.0
14,Blitzcrank,53,Initial,333.0
15,Brand,63,1.0.0.115,296.0
16,Braum,201,4.7,233.0
17,Briar,233,13.18,6.0
18,Caitlyn,51,1.0.0.108,303.0
19,Camille,164,6.24,171.0
20,Cassiopeia,69,1.0.0.107,304.0
21,Chogath,31,Initial,333.0
22,Corki,42,Initial,333.0
23,Darius,122,1.0.0.140,272.0
24,Diana,131,1.0.0.144,267.0
25,DrMundo,36,Initial,333.0
26,Draven,119,1.0.0.140b,271.0
27,Ekko,245,5.10,209.0
28,Elise,60,1.0.0.150,261.0
29,Evelynn,28,Initial,333.0
30,Ezreal,81,1.0.0.79,324.0
31,Fiddlesticks,9,Initial,333.0
32,Fiora,114,1.0.0.135,276.0
33,Fizz,105,1.0.0.129,282.0
34,Galio,3,1.0.0.98,313.0
35,Gangplank,41,Initial,333.0
36,Garen,86,1.0.0.83,321.0
37,Gnar,150,4.14,226.0
38,Gragas,79,1.0.0.72,327.0
39,Graves,104,1.0.0.127,284.0
40,Gwen,887,11.8,63.0
41,Hecarim,120,1.0.0.138,274.0
42,Heimerdinger,74,Initial,333.0
43,Illaoi,420,5.23,196.0
44,Irelia,39,1.0.0.105,306.0
45,Ivern,427,6.20,175.0
46,Janna,40,Initial,333.0
47,JarvanIV,59,1.0.0.112,299.0
48,Jax,24,Initial,333.0
49,Jayce,126,1.0.0.142,269.0
50,Jhin,202,6.2,193.0
51,Jinx,222,3.12,243.0
52,KSante,897,12.21,26.0
53,Kaisa,145,8.5,141.0
54,Kalista,429,4.20,220.0
55,Karma,43,1.0.0.110,301.0
56,Karthus,30,Initial,333.0
57,Kassadin,38,Initial,333.0
58,Katarina,55,Initial,333.0
59,Kayle,10,Initial,333.0
60,Kayn,141,7.14,157.0
61,Kennen,85,1.0.0.82,322.0
62,Khazix,121,1.0.0.148,263.0
63,Kindred,203,5.20,199.0
64,Kled,240,6.16,179.0
65,KogMaw,96,1.0.0.87,318.0
66,Leblanc,7,1.0.0.104,307.0
67,LeeSin,64,1.0.0.114,297.0
68,Leona,89,1.0.0.121,290.0
69,Lillia,876,10.15,81.0
70,Lissandra,127,3.6,250.0
71,Lucian,236,3.10a,245.0
72,Lulu,117,1.0.0.136,275.0
73,Lux,99,1.0.0.103,308.0
74,Malphite,54,Initial,333.0
75,Malzahar,90,1.0.0.86,319.0
76,Maokai,57,1.0.0.111,300.0
77,MasterYi,11,Initial,333.0
78,Milio,902,13.6,18.0
79,MissFortune,21,1.0.0.100,311.0
80,Wukong,62,1.0.0.122,289.0
81,Mordekaiser,82,1.0.0.75,325.0
82,Morgana,25,Initial,333.0
83,Naafiri,950,13.14,10.0
84,Nami,267,1.0.0.152,259.0
85,Nasus,75,Initial,333.0
86,Nautilus,111,1.0.0.134,277.0
87,Neeko,518,8.24,122.0
88,Nidalee,76,1.0.0.63,329.0
89,Nilah,895,12.13,34.0
90,Nocturne,56,1.0.0.113,298.0
91,Nunu,20,Initial,333.0
92,Olaf,2,1.0.0.94,317.0
93,Orianna,61,1.0.0.119,292.0
94,Ornn,516,7.17,154.0
95,Pantheon,80,1.0.0.72,327.0
96,Poppy,78,1.0.0.70,328.0
97,Pyke,555,8.11,135.0
98,Qiyana,246,9.13,108.0
99,Quinn,133,3.03,254.0
100,Rakan,497,7.8,163.0
101,Rammus,33,Initial,333.0
102,RekSai,421,4.21,219.0
103,Rell,526,10.25,71.0
104,RenataGlasc,888,12.4,43.0
105,Renekton,58,1.0.0.109,302.0
106,Rengar,107,1.0.0.145,266.0
107,Riven,92,1.0.0.125,286.0
108,Rumble,68,1.0.0.116,295.0
109,Ryze,13,Initial,333.0
110,Samira,360,10.19,77.0
111,Sejuani,113,1.0.0.132,279.0
112,Senna,235,9.22,99.0
113,Seraphine,147,10.22,74.0
114,Sett,875,10.1,95.0
115,Shaco,35,Initial,333.0
116,Shen,98,1.0.0.81,323.0
117,Shyvana,102,1.0.0.128,283.0
118,Singed,27,Initial,333.0
119,Sion,14,Initial,333.0
120,Sivir,15,Initial,333.0
121,Skarner,72,1.0.0.123,288.0
122,Sona,37,1.0.0.101,310.0
123,Soraka,16,Initial,333.0
124,Swain,50,1.0.0.102,309.0
125,Sylas,517,9.2,119.0
126,Syndra,134,1.0.0.147,264.0
127,TahmKench,223,5.13,206.0
128,Taliyah,163,6.10,185.0
129,Talon,91,1.0.0.124,287.0
130,Taric,44,Initial,333.0
131,Teemo,17,Initial,333.0
132,Thresh,412,1.0.0.154,257.0
133,Tristana,18,Initial,333.0
134,Trundle,48,1.0.0.106,305.0
135,Tryndamere,23,Initial,333.0
136,TwistedFate,4,Initial,333.0
137,Twitch,29,Initial,333.0
138,Udyr,77,1.0.0.61,330.0
139,Urgot,6,1.0.0.99,312.0
140,Varus,110,1.0.0.139,273.0
141,Vayne,67,1.0.0.118,294.0
142,Veigar,45,Initial,333.0
143,Velkoz,161,4.3,237.0
144,Vex,711,11.19,52.0
145,Vi,254,1.0.0.153,258.0
146,Viego,234,11.2,69.0
147,Viktor,112,1.0.0.131,280.0
148,Vladimir,8,1.0.0.97,314.0
149,Volibear,106,1.0.0.130,281.0
150,Warwick,19,Initial,333.0
151,Xayah,498,7.8,163.0
152,Xerath,101,1.0.0.126,285.0
153,XinZhao,5,1.0.0.96,315.0
154,Yasuo,157,3.15,240.0
155,Yone,777,10.16,80.0
156,Yorick,83,1.0.0.120,291.0
157,Yuumi,350,9.10,111.0
158,Zac,154,3.5,252.0
159,Zed,238,1.0.0.151,260.0
160,Zeri,221,12.2,45.0
161,Ziggs,115,1.0.0.133,278.0
162,Zilean,26,Initial,333.0
163,Zoe,142,7.23,148.0
164,Zyra,143,1.0.0.143,268.0
